Movie_name,Movie_release_date
괴물,2007
满城尽带黄金甲,2007
放·逐,2007
武士の一分,2007
Opera Jawa,2007
三峡好人,2007
밀양,2008
بودا از شرم فرو ریخت,2008
それでもボクはやってない,2008
色，戒,2008
太阳照常升起,2008
投名状,2008
トウキョウソナタ,2009
梅兰芳,2009
"좋은 놈, 나쁜 놈, 이상한 놈",2009
崖の上のポニョ,2009
Laskar Pelangi,2009
赤壁,2009
마더,2010
十月圍城,2010
不能没有你,2010
南京! 南京!,2010
Lola,2010
パレード,2010
ลุงบุญมีระลึกชาติ,2011
唐山大地震,2011
告白,2011
让子弹飞,2011
पीपली लाइव,2011
시,2011
جدایی نادر از سیمین,2012
金陵十三钗,2012
龍門飛甲,2012
一枚のハガキ,2012
賽德克·巴萊,2012
Zindagi Na Milegi Dobara,2012
浮城谜事,2013
毒戰,2013
गैंग्स ऑफ़ वासेपुर-भाग,2013
アウトレイジ ビヨンド,2013
피에타,2013
一代宗師,2014
舟を編む,2014
द लंच बॉक्स,2014
无人区,2014
설국열차,2014
郊遊,2014
推拿,2015
白日焰火,2015
हैदर,2015
자유의 언덕,2015
국제시장,2015
そこのみにて光輝く,2015
刺客聶隱娘,2016
बाजीराव मस्तानी,2016
山河故人,2016
老炮儿,2016
恋人たち,2016
베테랑,2016
我不是潘金莲,2017
밀정,2017
一路順風,2017
淵に立つ,2017
곡성,2017
芳华,2018
嘉年华,2018
그 후,2018
न्यूटन,2018
三度目の殺人,2018
万引き家族,2019
버닝,2019
我不是藥神,2019
撞死了一只羊,2019
,2019
