Movie_name,Movie_release_date
Capitaine Conan,1997
Un air de famille,1997
Microcosmos: Le peuple de l'herbe,1997
Pédale douce,1997
Les Voleurs,1997
On connaît la chanson,1998
The Fifth Element,1998
Marius et Jeannette,1998
Le Bossu,1998
Western,1998
La Vie rêvée des anges,1999
Le Dîner de cons,1999
Place Vendôme,1999
Taxi,1999
Ceux qui m'aiment prendront le train,1999
Venus beauté (institut),2000
Les Enfants du marais,2000
Est - Ouest,2000
La Fille sur le pont,2000
Jeanne d'Arc,2000
Le Goût des autres,2001
"Harry, un ami qui vous veut du bien",2001
Les Blessures assassines,2001
Une affaire de goût,2001
Saint-Cyr,2001
Le Fabuleux Destin d'Amélie Poulain,2002
Chaos,2002
La Chambre des officiers,2002
Sur mes lèvres,2002
Sous le sable,2002
The Pianist,2003
8 femmes,2003
Amen.,2003
L'Auberge espagnole,2003
Être et avoir,2003
Les Invasions barbares,2004
Bon voyage,2004
Les Sentiments,2004
Pas sur la bouche,2004
Les Triplettes de Belleville,2004
L'Esquive,2005
36 Quai des Orfèvres,2005
Les Choristes,2005
Rois et reine,2005
Un long dimanche de fiançailles,2005
De battre mon cœur s'est arrêté,2006
L'Enfant,2006
"Va, vis et deviens",2006
Joyeux Noël,2006
Le Petit Lieutenant,2006
Lady Chatterley,2007
Indigènes,2007
"Je vais bien, ne t'en fais pas",2007
Ne le dis à personne,2007
Quand j'étais chanteur,2007
La Graine et le mulet,2008
Le Scaphandre et le papillon,2008
Persepolis,2008
Un secret,2008
La môme,2008
Séraphine,2009
Un conte de Noël,2009
Entre les murs,2009
Le Premier Jour du reste de ta vie,2009
Il y a longtemps que je t'aime,2009
Paris,2009
L'Instinct de mort and L'Ennemi public n°1,2009
Un prophète,2010
À l'origine,2010
Le Concert,2010
Les Herbes folles,2010
La Journée de la jupe,2010
Rapt,2010
Welcome,2010
Des hommes et des dieux,2011
L'Arnacœur,2011
Gainsbourg (Vie héroïque),2011
Mammuth,2011
Le Nom des gens,2011
The Ghost Writer,2011
Tournée,2011
The Artist,2012
L'exercice de l'État,2012
La Guerre est déclarée,2012
Le Havre,2012
Intouchables,2012
Pater,2012
Polisse,2012
Amour,2013
Camille redouble,2013
Les Adieux à la reine,2013
Holy Motors,2013
Dans la maison,2013
De rouille et d'os,2013
Le prénom,2013
"Les Garçons et Guillaume, à table!",2014
Neuf mois ferme,2014
La Vie d'Adèle – Chapitres 1 & 2,2014
Jimmy P.,2014
Le Passé,2014
L'Inconnu du lac,2014
La Vénus à la fourrure,2014
Timbuktu,2015
Les Combattants,2015
Eastern Boys,2015
La Famille Bélier,2015
Hippocrate,2015
Saint Laurent,2015
Sils Maria,2015
Fatima,2016
Dheepan,2016
La Loi du marché,2016
Marguerite,2016
Mon roi,2016
Mustang,2016
La Tête haute,2016
Trois souvenirs de ma jeunesse,2016
Elle,2017
Divines,2017
Frantz,2017
Les Innocentes,2017
Ma Loute,2017
Mal de pierres,2017
Victoria,2017
120 battements par minute,2018
Au revoir là-haut,2018
Barbara,2018
Le Brio,2018
Patients,2018
Petit Paysan,2018
Le Sens de la fête,2018
Jusqu'à la garde,2019
Le Grand Bain,2019
The Sisters Brothers,2019
Pupille,2019
Guy,2019
En liberté!,2019
La douleur,2019
