Movie_name,Movie_release_date
Le Vieux Fusil,1976
"Cousin, cousine",1976
Que la fête commence,1976
Sept morts sur ordonnance,1976
Monsieur Klein,1977
Barocco,1977
La Meilleure Façon de marcher,1977
Le Juge et l'assassin,1977
Providence,1978
Le Crabe-Tambour,1978
La Dentellière,1978
Nous irons tous au paradis,1978
L'Argent des autres,1979
Le Dossier 51,1979
Molière,1979
Une histoire simple,1979
Tess,1980
Don Giovanni,1980
I... comme Icare,1980
Clair de femme,1980
Le Dernier Métro,1981
Loulou,1981
Mon oncle d'Amérique,1981
Sauve qui peut (la vie),1981
La Guerre du feu,1982
Coup de torchon,1982
Les Uns et les autres,1982
Garde à vue,1982
La Balance,1983
Danton,1983
Passion,1983
Une chambre en ville,1983
Le Bal,1984
À nos amours,1984
Entre nous (a.k.a. Coup de foudre),1984
L'Été meurtrier,1984
Tchao pantin,1984
Les Ripoux,1985
Carmen,1985
Les Nuits de la pleine lune,1985
L'Amour à mort,1985
Un dimanche à la campagne,1985
3 hommes et un couffin,1986
Péril en la demeure,1986
L'Effrontée,1986
Subway,1986
Sans toit ni loi,1986
Thérèse,1987
37°2 le matin,1987
Jean de Florette,1987
Mélo,1987
Tenue de soirée,1987
Au revoir les enfants,1988
Le Grand Chemin,1988
Les Innocents,1988
Tandem,1988
Sous le soleil de Satan,1988
Camille Claudel,1989
L'Ours,1989
Le Grand Bleu,1989
La Vie est un long fleuve tranquille,1989
La Lectrice,1989
Trop belle pour toi,1990
Nocturne indien,1990
La Vie et rien d'autre,1990
Monsieur Hire,1990
Un monde sans pitié,1990
Cyrano de Bergerac,1991
Le Mari de la coiffeuse,1991
Le Petit Criminel,1991
Nikita,1991
Uranus,1991
Tous les matins du monde,1992
Merci la vie,1992
La Belle Noiseuse,1992
Van Gogh,1992
Les nuits fauves,1993
Le Petit Prince a dit,1993
La Crise,1993
Un cœur en hiver,1993
Indochine,1993
L.627,1993
Smoking/No Smoking,1994
Germinal,1994
Ma saison préférée,1994
Trois couleurs: Bleu,1994
Les Visiteurs,1994
Les Roseaux sauvages,1995
Le Fils préféré,1995
Léon,1995
La Reine Margot,1995
Trois couleurs: Rouge,1995
La haine,1996
Le Bonheur est dans le pré,1996
La Cérémonie,1996
Gazon maudit,1996
Le Hussard sur le toit,1996
Nelly et Monsieur Arnaud,1996
Ridicule,1997
