Movie_name,Movie_release_date
Wings,1927
7th Heaven,1927
Sunrise: A Song of Two Humans,1927
The Last Command,1928
Street Angel,1928
Tempest,1928
The Dove,1927
The Way of All Flesh,1927
Two Arabian Knights,1927
Underworld,1927
Sadie Thompson,1928
The Crowd,1928
A Ship Comes In,1928
Chang: A Drama of the Wilderness,1927
Glorious Betsy,1928
Sorrell and Son,1927
Speedy,1928
The Devil Dancer,1927
The Jazz Singer,1927
The Magic Flame,1927
The Noose,1928
The Patent Leather Kid,1927
The Private Life of Helen of Troy,1927
The Racket,1928
The Broadway Melody,1929
In Old Arizona,1928
The Patriot,1928
The Divine Lady,1928
Coquette,1929
The Bridge of San Luis Rey,1929
White Shadows in the South Seas,1928
Alibi,1929
Madame X,1929
Our Dancing Daughters,1928
The Valiant,1929
4 Devils,1928
A Woman of Affairs,1928
Drag,1929
Dynamite,1929
Sal of Singapore,1928
Skyscraper,1928
The Awakening,1928
The Barker,1928
The Cop,1928
The Hollywood Revue of 1929,1929
The Last of Mrs. Cheyney,1929
The Leatherneck,1929
The Letter,1929
Thunderbolt,1929
Weary River,1929
Wonder of Women,1929
All Quiet on the Western Front,1930
The Big House,1930
The Divorcee,1930
Disraeli,1929
King of Jazz,1930
With Byrd at the South Pole,1930
The Love Parade,1929
Anna Christie,1930
Bulldog Drummond,1929
Romance,1930
Condemned,1929
Hallelujah,1929
Hell's Angels,1930
Raffles,1930
Sally,1929
Sarah and Son,1930
Song of the Flame,1930
The Big Pond,1930
The Case of Sergeant Grischa,1930
The Devil's Holiday,1930
The Green Goddess,1930
The Rogue Song,1930
The Trespasser,1929
The Vagabond King,1930
Their Own Desire,1929
Cimarron,1931
Skippy,1931
A Free Soul,1931
Min and Bill,1930
Tabu: A Story of the South Seas,1931
The Dawn Patrol,1930
Morocco,1930
The Front Page,1931
Holiday,1930
Svengali,1931
East Lynne,1931
Just Imagine,1930
Laughter,1930
Little Caesar,1931
Smart Money,1931
The Criminal Code,1930
The Doorway to Hell,1930
The Public Enemy,1931
The Right to Love,1930
The Royal Family of Broadway,1930
Trader Horn,1931
Whoopee!,1930
Grand Hotel,1932
The Champ,1931
Bad Girl,1931
Dr. Jekyll and Mr. Hyde,1931
Shanghai Express,1932
Flowers and Trees,1932
The Music Box,1932
The Sin of Madelon Claudet,1931
Transatlantic,1931
Wrestling Swordfish,1931
Arrowsmith,1931
The Guardsman,1931
À Nous la Liberté,1931
Emma,1932
Five Star Final,1931
It's Got Me Again!,1932
Lady and Gent,1932
Mickey's Orphans,1931
One Hour with You,1932
Scratch-As-Catch-Can,1932
Screen Souvenirs,1932
Swing High,1932
The Loud Mouth,1932
The Smiling Lieutenant,1931
The Star Witness,1931
What Price Hollywood?,1932
Cavalcade,1933
A Farewell to Arms,1932
Little Women,1933
The Private Life of Henry VIII,1933
Krakatoa,1933
Morning Glory,1933
One Way Passage,1932
So This Is Harris!,1933
Three Little Pigs,1933
Lady for a Day,1933
I Am a Fugitive from a Chain Gang,1932
42nd Street,1933
State Fair,1933
A Preferred List,1933
Berkeley Square,1933
Building a Building,1933
Gold Diggers of 1933,1933
Menu,1933
Mister Mugg,1933
Rasputin and the Empress,1932
Reunion in Vienna,1933
She Done Him Wrong,1933
Sign of the Cross,1933
Smilin' Through,1932
The Merry Old Soul,1933
The Prizefighter and the Lady,1933
The Sea,1933
When Ladies Meet,1933
It Happened One Night,1934
One Night of Love,1934
Cleopatra,1934
The Gay Divorcee,1934
Viva Villa!,1934
City of Wax,1934
Eskimo,1934
La Cucaracha,1934
Manhattan Melodrama,1934
The Merry Widow,1934
The Tortoise and the Hare,1934
The Affairs of Cellini,1934
The Thin Man,1934
Imitation of Life,1934
Flirtation Walk,1934
The Barretts of Wimpole Street,1934
The White Parade,1934
Bosom Friends,1934
Flying Down to Rio,1934
Here Comes the Navy,1934
Hide-Out,1934
Holiday Land,1934
Jolly Little Elves,1934
Men in Black,1934
Of Human Bondage,1934
Operator 13,1934
She Loves Me Not,1934
Strikes and Spares,1934
The House of Rothschild,1934
The Lost Patrol,1934
The Richest Girl in the World,1934
"What, No Men!",1934
Mutiny on the Bounty,1935
The Informer,1935
A Midsummer Night's Dream,1935
The Lives of a Bengal Lancer,1935
Broadway Melody of 1936,1935
The Dark Angel,1935
Gold Diggers of 1935,1935
Naughty Marietta,1935
Dangerous,1935
How to Sleep,1935
The Scoundrel,1935
Three Orphan Kittens,1935
Wings Over Everest,1935
Captain Blood,1935
Les Misérables,1935
Top Hat,1935
David Copperfield,1935
Alice Adams,1935
"$1,000 a Minute",1935
All the King's Horses,1935
Audioscopiks,1935
Barbary Coast,1935
Becky Sharp,1935
Black Fury,1935
Bride of Frankenstein,1935
Broadway Hostess,1935
Camera Thrills,1935
Escape Me Never,1935
Folies Bergère de Paris,1935
G Men,1935
Go into Your Dance,1935
I Dream Too Much,1935
King of Burlesque,1935
Love Me Forever,1935
"Oh, My Nerves",1935
Peter Ibbetson,1935
Private Worlds,1935
Roberta,1935
Ruggles of Red Gap,1935
She,1935
Thanks a Million,1935
The Big Broadcast of 1936,1935
The Calico Dragon,1935
The Crusades,1935
The Gay Deception,1935
Tit for Tat,1935
Who Killed Cock Robin?,1935
The Great Ziegfeld,1936
Anthony Adverse,1936
The Story of Louis Pasteur,1936
Dodsworth,1936
San Francisco,1936
Mr. Deeds Goes to Town,1936
The Charge of the Light Brigade,1936
Come and Get It,1936
Swing Time,1936
Bored of Education,1936
Give Me Liberty,1936
The Country Cousin,1936
The Public Pays,1936
My Man Godfrey,1936
Romeo and Juliet,1936
The General Died at Dawn,1936
Three Smart Girls,1936
A Tale of Two Cities,1936
Born to Dance,1936
Lloyd's of London,1936
The Garden of Allah,1936
The Gorgeous Hussy,1936
Theodora Goes Wild,1936
Winterset,1936
After the Thin Man,1936
Banjo on My Knee,1936
Cain and Mabel,1936
Dancing Pirate,1936
Double or Nothing,1936
Dummy Ache,1936
Fury,1936
General Spanky,1936
Gold Diggers of 1937,1936
La Fiesta de Santa Barbara,1936
Libeled Lady,1936
The Magnificent Brute,1936
Moscow Moods,1936
One in a Million,1936
Pennies from Heaven,1936
Pigskin Parade,1936
Popeye the Sailor Meets Sinbad the Sailor,1936
Popular Science J-6-2,1936
"Sing, Baby, Sing",1936
Suzy,1936
That Girl from Paris,1936
The Last of the Mohicans,1936
The Old Mill Pond,1936
The Texas Rangers,1936
These Three,1936
The Trail of the Lonesome Pine,1936
Valiant Is the Word for Carrie,1936
Wanted – A Master,1936
The Life of Emile Zola,1937
Lost Horizon,1937
In Old Chicago,1937
The Good Earth,1937
A Star Is Born,1937
The Awful Truth,1937
One Hundred Men and a Girl,1937
Captains Courageous,1937
The Hurricane,1937
A Damsel in Distress,1937
Waikiki Wedding,1937
Penny Wisdom,1937
The Old Mill,1937
The Private Life of the Gannets,1937
Torture Money,1937
Dead End,1937
Stage Door,1937
Souls at Sea,1937
Conquest,1937
Maytime,1937
Night Must Fall,1937
Stella Dallas,1937
