Movie_name,Movie_release_date
Brief Encounter,1946
Die Letzte Chance,1946
The Lost Weekend,1946
María Candelaria,1946
Muži bez křídel,1946
Neecha Nagar,1946
La symphonie pastorale,1946
De røde enge,1946
"Roma, città aperta",1946
Hets,1946
Великий перелом,1946
Antoine et Antoinette,1947
Crossfire (Best Social Film),1947
Les Maudits,1947
Dumbo (Best Animation Design),1947
Ziegfeld Follies (Best Musical Comedy),1947
The Third Man,1949
Festival cancelled,1950
Miracolo a Milano,1951
Fröken Julie,1951
Othello,1952
Due soldi di speranza,1952
Le salaire de la peur,1953
地獄門,1954
Marty §,1955
Le monde du silence,1956
Friendly Persuasion,1957
Летят журавли,1958
Orfeu Negro,1959
La dolce vita §,1960
Une aussi longue absence,1961
Viridiana §,1961
O Pagador de Promessas §,1962
Il gattopardo,1963
Les parapluies de Cherbourg,1964
The Knack ...and How to Get It,1965
Signore e signori,1966
Un homme et une femme,1966
Blowup,1967
If....,1969
M*A*S*H,1970
The Go-Between,1971
Il caso Mattei,1972
La classe operaia va in paradiso,1972
The Hireling,1973
Scarecrow,1973
The Conversation,1974
Chronique des années de braise,1975
Taxi Driver,1976
Padre Padrone,1977
L'albero degli zoccoli,1978
Apocalypse Now,1979
Die Blechtrommel,1979
All That Jazz,1980
影武者,1980
Człowiek z żelaza,1981
Missing §,1982
Yol §,1982
楢山節考,1983
"Paris, Texas §",1984
Отац на службеном путу,1985
The Mission,1986
Sous le soleil de Satan,1987
Pelle Erobreren,1988
"Sex, Lies, and Videotape",1989
Wild at Heart,1990
Barton Fink §,1991
Den goda viljan,1992
霸王別姬,1993
The Piano,1993
Pulp Fiction,1994
Подземље,1995
Secrets & Lies,1996
うなぎ,1997
طعم گيلاس,1997
Μια αιωνιότητα και μια μέρα,1998
Rosetta §,1999
Dancer in the Dark,2000
La stanza del figlio,2001
The Pianist,2002
Elephant,2003
Fahrenheit 9/11,2004
L'Enfant,2005
The Wind That Shakes the Barley §,2006
"4 luni, 3 săptămâni și 2 zile",2007
Entre les murs,2008
"Das weiße Band, Eine deutsche Kindergeschichte",2009
ลุงบุญมีระลึกชาติ,2010
The Tree of Life,2011
Amour,2012
La Vie d'Adèle: Chapitres 1 et 2,2013
Kış Uykusu,2014
Dheepan,2015
"I, Daniel Blake",2016
The Square,2017
万引き家族,2018
기생충,2019
Titane,2021
Triangle of Sadness,2022
Anatomie d'une chute,2023
Anora,2024
